URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/us-core-sexual-orientation,ValueSet/gender-identity"
http://terminology.hl7.org/CodeSystem/data-absent-reason,0.1.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/gender-identity"
http://terminology.hl7.org/CodeSystem/v2-0532,2.1.0,active,"2.16.840.1.113883.18.347",ExpandedYesNoIndicator,expandedYes-NoIndicator,"HL7-defined code system of concepts used to specify an expansion on the original Yes/No indicator table by including ""flavors of null"".  It is intended to be applied to fields where the response is not limited to ""yes"" or ""no"".  Used in numerous locations in HL7 Version 2.x messaging.","ValueSet/v2-0136"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,2.1.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/us-core-sexual-orientation,ValueSet/gender-identity"
https://voicecollab.ai/fhir/CodeSystem/Who-Completed-Survey,1.4.0,active,,WhoCompletedSurvey,Survey Completion Identifier Codes,"This code system identifies who has completed a specific survey or questionnaire.","ValueSet/whocompletedsurvey"
https://voicecollab.ai/fhir/CodeSystem/Winograd-1,1.4.0,active,,Winograd1,Questionnaire codes,"The codes required for Questionnaires survey completion","ValueSet/Winograd-1"
https://voicecollab.ai/fhir/CodeSystem/Winograd-10,1.4.0,active,,Winograd10,Questionnaire codes,"The codes required for Questionnaires survey completion","ValueSet/Winograd-10"
https://voicecollab.ai/fhir/CodeSystem/Winograd-100,1.4.0,active,,Winograd100,Questionnaire codes,"The codes required for Questionnaires survey completion","ValueSet/Winograd-100"
https://voicecollab.ai/fhir/CodeSystem/Winograd-101,1.4.0,active,,Winograd101,Questionnaire codes,"The codes required for Questionnaires survey completion","ValueSet/Winograd-101"
https://voicecollab.ai/fhir/CodeSystem/Winograd-102,1.4.0,active,,Winograd102,Questionnaire codes,"The codes required for Questionnaires survey completion","ValueSet/Winograd-102"
