URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-admission-class,1.3.0,draft,,MimicAdmissionClass,MimicAdmissionClass,"The admission class for MIMIC",,"THO (V3),Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-admission-type,1.3.0,draft,,MimicAdmissionType,MimicAdmissionType,"The admission type for MIMIC",,"SCT,Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-admit-source,1.3.0,draft,,MimicAdmitSource,MimicAdmitSource,"The admission source for MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-bodysite,1.3.0,draft,,MimicBodysite,MimicBodysite,"The bodysite codes for MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-chartevents-d-items,1.3.0,draft,,MimicCharteventsDItems,MimicCharteventsDItems,"The item codes for chartevents used in MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-d-labitems,1.3.0,draft,,MimicDLabitems,MimicDLabitems,"The lab item codes used in MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-dateAbsentReason,1.3.0,active,,DataAbsentReason,MIMIC-ED Data Absent Reason,"Selected code from the DataAbsentReason value set.",,"THO"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-datetimeevents-d-items,1.3.0,draft,,MimicDatetimeeventsDItems,MimicDatetimeeventsDItems,"The datetime item codes used in MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-diagnosis-icd,1.3.0,draft,,MimicDiagnosisIcd,MimicDiagnosisIcd,"The diagnosis ICD9 and ICD10 codes for MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-discharge-disposition,1.3.0,draft,,MimicDischargeDisposition,MimicDischargeDisposition,"The discharge disposition for MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-encounter-type,1.3.0,draft,,MimicEncounterType,MimicEncounterType,"The encounter type for MIMIC",,"SCT,Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-lab-interpretation,1.3.0,active,,MimicLabInterpretation,MIMIC Observation Lab interpretation Value Set,"Selected codes from ObservationInterpretation that represent interpretations in MIMIC.",,"THO (V3)"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-lab-priority,1.3.0,draft,,MimicLabPriority,MimicLabPriority,"The priority of the lab item in MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-medadmin-category-icu,1.3.0,draft,,MimicMedadminCategoryIcu,MimicMedadminCategoryIcu,"The medication administration category for the ICU for MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-medication,1.3.0,draft,,MimicMedication,MimicMedication,"All medication codesystems combined for MIMIC. Contains medication-formulary-drug-cd, medication-ndc, medication-name, medication-poe-iv, medication-icu",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-medication-etc,1.3.0,draft,,MimicMedicationEtc,MimicMedicationEtc,"The medication ETC (enhanced therapeutic class) codes for MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-medication-frequency,1.3.0,draft,,MimicMedicationFrequency,MimicMedicationFrequency,"The medication frequency reported for medication delivery in MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-medication-gsn,1.3.0,draft,,MimicMedicationGsn,MimicMedicationGsn,"The medication GSN codes for MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-medication-method,1.3.0,draft,,MimicMedicationMethod,MimicMedicationMethod,"The medication delivery method for MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-medication-method-icu,1.3.0,draft,,MimicMedicationMethodIcu,MimicMedicationMethodIcu,"The medication delivery method used in the ICU for MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-medication-route,1.3.0,draft,,MimicMedicationRoute,MimicMedicationRoute,"The medication route during administration for MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-medication-site,1.3.0,draft,,MimicMedicationSite,MimicMedicationSite,"The medication site for administration in MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-micro-interpretation,1.3.0,active,,MimicMicroInterpretation,MIMIC Observation Lab interpretation Value Set,"Selected codes from ObservationInterpretation that represent interpretations in MIMIC.",,"THO (V3)"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-microbiology-antibiotic,1.3.0,draft,,MimicMicrobiologyAntibiotic,MimicMicrobiologyAntibiotic,"The microbiology antibiotic being tested on an organism in MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-microbiology-organism,1.3.0,draft,,MimicMicrobiologyOrganism,MimicMicrobiologyOrganism,"The microbiology organism being tested in MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-microbiology-test,1.3.0,draft,,MimicMicrobiologyTest,MimicMicrobiologyTest,"The microbiology test completed in MIMIC",,"Internal"
http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-observation-category,1.3.0,draft,,MimicObservationCategory,MimicObservationCategory,"The observation category codes for MIMIC",,"Internal"
